event_id,date,year,year_status,district,district_original,tehsil,panchayat_village,source_classification,derived_classification,classification_confidence,fatalities,missing_persons,injured_persons,livestock_lost,houses_damaged_fully,houses_damaged_partially,infrastructure_damage,financial_loss_inr_lakh,source_file,source_organization,source_url,page_table_location,event_narrative
CB_2021_SHIMLA_001,2021-07-28,2021,COMPLETE,Shimla,Shimla,Rampur,Sarpara Village,Cloudburst,Cloudburst,HIGH,1,0,0,5,2,6,Local irrigation channels eroded,40.0,hpsdma_memo_monsoon_2021.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,"Page 21, Incident List",Cloudburst over Sarpara village washing out agricultural terraces.
CB_2022_KULLU_001,2022-07-06,2022,COMPLETE,Kullu,Kullu,Manikaran,Chojh Village,Cloudburst,Cloudburst,HIGH,4,1,2,8,5,7,"Chojh footbridge washed away, camping sites inundated",175.0,hpsdma_memo_monsoon_2022.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,"Annexure II, Event 3",Early morning cloudburst in Chojh nullah inundating camping grounds and washing away footbridge.
CB_2022_MANDI_001,2022-08-19,2022,COMPLETE,Mandi,Mandi,Gohar,Kashan Village,Cloudburst and debris avalanche,Cloudburst,HIGH,8,0,4,15,4,6,"Panchayat building damaged, internal link road buried under debris",310.0,hpsdma_memo_monsoon_2022.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,"Annexure II, Event 9",Devastating cloudburst burying two family homes under rubble in Kashan village.
CB_2023_KULLU_001,2023-07-09,2023,COMPLETE,Kullu,Kullu,Bhuntar,Gadsa Valley and Chojh nullah,Cloudburst,Cloudburst,HIGH,4,2,6,25,12,20,"Bhuntar-Gadsa bridge approaches washed away, power lines down",650.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 18, Table 1.2",Violent cloudburst in Gadsa catchment triggering torrential debris flow down into Beas confluence.
CB_2023_MANDI_001,2023-07-09,2023,COMPLETE,Mandi,Mandi,Thunag,Thunag Market and Jhanjheli,Cloudburst,Cloudburst,HIGH,2,0,5,10,8,35,"Thunag main market engulfed in 5ft silt and logs, vehicles dragged",920.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 19, Table 1.3",Massive cloudburst over hills above Thunag funneling timber debris and silt directly through town market.
CB_2023_SHIMLA_001,2023-08-14,2023,COMPLETE,Shimla,Shimla,Shimla Urban,Summer Hill (Shiv Bawadi) and Fagli,Cloudburst / Extreme Rainfall Triggered Landslide,Cloudburst,HIGH,20,0,10,5,14,18,"Shiv Bawadi temple collapsed, Kalka-Shimla heritage railway line hung in mid-air",2200.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 22, Section 1.3",Unprecedented cloudburst deluging Summer Hill slopes causing slope collapse that crushed Shiv temple.
CB_2023_KANGRA_001,2023-08-14,2023,COMPLETE,Kangra,Kangra,Jawali,Fatehpur and Pong Dam catchment,Cloudburst,Cloudburst,HIGH,3,0,4,12,6,15,"Dehar khad bridges strained, rural roads cut off",340.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 25, Table 1.7",Intense cloudburst over lower Shivalik catchments funneling torrential flood into Pong Dam reservoir.
CB_2024_SHIMLA_001,2024-07-31,2024,COMPLETE,Shimla,Shimla,Rampur,Samej Village (near Jhakri),Cloudburst,Cloudburst and Flash Flood,HIGH,33,28,15,45,28,12,"Entire Samej village flattened, 2 hydro electric projects heavily damaged, primary school erased",3500.0,hpsdma_memo_monsoon_2024.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,"Annexure IV, Incident 12",Midnight cloudburst over Samej catchment generating an apocalyptic surge that erased Samej hamlet.
CB_2024_KULLU_001,2024-07-31,2024,COMPLETE,Kullu,Kullu,Nirmand,Bagipul and Jaon Village,Cloudburst,Cloudburst,HIGH,9,7,6,20,14,16,"Kurpan khad bridge collapsed, market buildings washed away",1100.0,hpsdma_memo_monsoon_2024.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,"Annexure IV, Incident 13",Cloudburst in Kurpan khad basin causing violent flash flood washing away Bagipul market shops.
CB_2024_MANDI_001,2024-07-31,2024,COMPLETE,Mandi,Mandi,Padhar,Tikkan and Rajban Village,Cloudburst and debris flow,Cloudburst,HIGH,10,6,8,18,8,11,"Rajban road cutoff, electrical transformers washed away, JSV schemes choked",980.0,hpsdma_memo_monsoon_2024.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,"Annexure IV, Incident 14",Simultaneous cloudburst in Padhar sub-division triggering huge debris torrent burying Rajban dwellings.
CB_2025_MANDI_001,2025-08-01,2025,COMPLETE,Mandi,Mandi,Gohar & Karsog,Karsog & Gohar catchment nullahs,Cloudburst,Cloudburst,HIGH,6,2,5,16,7,18,"Link roads blocked, irrigation channels breached",410.0,hpsdma_memo_monsoon_2025.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,"Page 41, Section 2.8: Cloudburst Incidents",Monsoon 2025 cloudburst outbreak in Mandi district (19 total cloudbursts documented in memo).
CB_2025_KULLU_001,2025-08-01,2025,COMPLETE,Kullu,Kullu,Sainj,Sainj Valley nullahs,Cloudburst,Cloudburst,HIGH,4,1,3,12,5,14,Sainj hydro project access bridge damaged,320.0,hpsdma_memo_monsoon_2025.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,"Page 41, Section 2.8: Cloudburst Incidents",Severe cloudburst in Sainj valley (part of 12 documented Kullu cloudbursts in 2025 memo).
CB_2025_SHIMLA_001,2025-08-15,2025,COMPLETE,Shimla,Shimla,Rampur,Rampur & Rohru border areas,Cloudburst,Cloudburst,HIGH,2,0,2,8,3,9,Pabbar catchment link roads washed out,180.0,hpsdma_memo_monsoon_2025.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,"Page 41, Section 2.8: Cloudburst Incidents",Cloudburst incident in Rampur sub-division (3 cloudbursts documented in Shimla district in 2025 memo).
