canonical_event_id,source_record_id,source_organization,document_title,source_url,source_file,page_table_location,source_verbatim_classification,fatalities_reported,damage_reported
CANON_20190818_SHI_CHI,FF_2019_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2019.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/0f5c2230-7150-4899-b290-df40ea8287e8.pdf,hpsdma_memo_monsoon_2019.pdf,"Page 24, Table 3.1",Flash Flood,12,"Andhra hydro project intake damaged, Rohru-Chirgaon highway severed"
CANON_20210712_KAN_DHA,FF_2021_KANGRA_001,HP SDMA,hpsdma_memo_monsoon_2021.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,hpsdma_memo_monsoon_2021.pdf,Incident Report Page 18,Flash Flood,10,"Manjhi Khad bridge severely damaged, NH-154 culverts swept"
CANON_20210728_KUL_MAN,FF_2021_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2021.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,hpsdma_memo_monsoon_2021.pdf,Incident Report Page 11,Flash Flood,5,"Campsites washed away, bridge connecting Manikaran and Tosh damaged"
CANON_20220820_MAN_BAL,FF_2022_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2022.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,hpsdma_memo_monsoon_2022.pdf,"Annexure II, Event 11",Flash Flood and Inundation,6,"Balh valley fields and commercial complexes flooded, NH-21 blocked"
CANON_20220820_KAN_NUR,FF_2022_KANGRA_001,HP SDMA,hpsdma_memo_monsoon_2022.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,hpsdma_memo_monsoon_2022.pdf,"Annexure II, Event 12",Flash Flood,2,Railway bridge on Chakki river collapsed due to pier scouring
CANON_20230709_KUL_MAN,FF_2023_KULLU_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 19-20, Section 1.1.6",Flash Flood / River Deluge,14,"NH-3 Chandigarh-Manali completely washed into river, 40 shops erased, bus stand submerged"
CANON_20230709_MAN_SAD,FF_2023_MANDI_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 42, Section 3.8",Flash Flood,9,"Victoria bridge approach road submerged, Pandoh market flooded, JSV intake pump houses inundated"
CANON_20230710_SHI_SHI,FF_2023_SHIMLA_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 35, Section 2.4",Flash Flood,3,Major water supply pumping stations for Shimla city heavily silted and submerged
CANON_20230814_KAN_NUR,FF_2023_KANGRA_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 20, Section 1.1.6",Flash Flood and Dam Spillway Inundation,8,"Railway bridge pillar on Chakki washed away, hundreds marooned rescued by IAF helicopters"
CANON_20250802_MAN_BAL,FF_2025_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2025.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,hpsdma_memo_monsoon_2025.pdf,"Page 57-65, Section 3.2: Flash Flood Damages",Flash Flood,4,"Protection walls breached, agricultural fields inundated"
